"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Datum gestartet","Datum letzte Aktivität","Test","In welcher Klassenstufe bist du?","Welche Informatiknote hattest du auf deinem letzten Zeugnis?","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Die Aufgaben konnte ich gut lösen.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich fand die Aufgaben zu schwierig.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich konnte die Aufgaben konzentriert bearbeiten.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich empfand die Aufgaben als zu leicht.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Bereits vor der Unterrichtsstunde hatte ich Interesse etwas über KI zu lernen.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Das Szenario hat mir keinen Spaß gemacht.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich würde mich nach dem Szenario gern näher mit dem Thema KI beschäftigen.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich würde mir inhaltlich mehr solche Themen im Informatikunterricht wünschen.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst.  [Ich würde mir methodisch mehr solcher Unterrichtsstunden wünschen.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst. [In der Unterrichtsstunde habe ich etwas Neues gelernt.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst. [Ich habe nun besser verstanden, wie eine KI funktionieren kann.]","Gib dafür an, inwieweit du den folgenden Aussagen zustimmst bzw. nicht zustimmst. [Die Bedienung von Teachable machine ist verständlich.]","Gib der Stunde eine Schulnote (von 1 bis 6).","Hast du noch etwas anzumerken?Hier kannst du hinschreiben, was du zum Thema noch sagen möchtest."
"4","","","de","90820964","2024-02-04 23:59:23","2024-02-04 23:59:23","N/A","","","","","","","","","","","","","","","",""
"5","","","de","712879357","2024-02-05 15:32:07","2024-02-05 15:32:07","N/A","","","","","","","","","","","","","","","",""
"6","","","de","1192404916","2024-02-05 15:32:09","2024-02-05 15:32:09","N/A","","","","","","","","","","","","","","","",""
"7","","","de","538003604","2024-02-05 17:30:56","2024-02-05 17:30:56","N/A","","","","","","","","","","","","","","","",""
"8","","4","de","1880270950","2024-02-05 17:30:58","2024-02-05 17:33:41","N/A","","1","","","","","","","","","","","","","",""
"9","","","de","73170969","2024-02-05 17:31:01","2024-02-05 17:31:01","N/A","","","","","","","","","","","","","","","",""
"10","2024-02-05 17:36:59","5","de","691337317","2024-02-05 17:31:11","2024-02-05 17:36:59","männlich","7","","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme zu","Stimme weder zu noch lehne ab","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","1","Tolle und interessante Stunde! Coll war das man viel mitmachen könnte."
"11","2024-02-05 17:34:03","5","de","717623623","2024-02-05 17:31:49","2024-02-05 17:34:03","männlich","7","","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme nicht zu","Stimme zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","1","war super"
"12","2024-02-05 17:38:23","5","de","126202750","2024-02-05 17:32:34","2024-02-05 17:38:23","männlich","7","","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme weder zu noch lehne ab","Stimme weder zu noch lehne ab","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme weder zu noch lehne ab","Stimme weder zu noch lehne ab","Stimme voll und ganz zu","1","Wenn man nicht mal die Menschliche Intelligenz beschreiben kann wie soll man dann die Künstliche"
"13","2024-02-05 17:36:39","5","de","41947292","2024-02-05 17:33:25","2024-02-05 17:36:39","männlich","7","","Stimme weder zu noch lehne ab","Stimme überhaupt nicht zu","Stimme weder zu noch lehne ab","Stimme weder zu noch lehne ab","Stimme zu","Stimme weder zu noch nicht zu","Stimme zu","Stimme zu","Stimme nicht zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","2","KI ist zwar cool, aber ich hätte gerne bei dem Auto weitergemacht. Es war etwas langweilig."
