Antwort ID;Datum gestartet;Datum letzte Aktivität;Geschlecht;In welcher Klassenstufe bist du?;Welche Informatiknote hattest du auf deinem letzten Zeugnis?;Die Aufgaben konnte ich gut lösen.;Ich fand die Aufgaben zu schwierig.;Ich konnte die Aufgaben konzentriert bearbeiten.;Ich empfand die Aufgaben als zu leicht.;Bereits vor der Unterrichtsstunde hatte ich Interesse etwas über KI zu lernen.;Das Szenario hat mir keinen Spaß gemacht.;Ich würde mich nach dem Szenario gern näher mit dem Thema KI beschäftigen.;Ich würde mir inhaltlich mehr solche Themen im Informatikunterricht wünschen.;Ich würde mir methodisch mehr solcher Unterrichtsstunden wünschen.;In der Unterrichtsstunde habe ich etwas Neues gelernt.;Ich habe nun besser verstanden, wie eine KI funktionieren kann.;Die Bedienung von Teachable machine ist verständlich.;Gib der Stunde eine Schulnote (von 1 bis 6).;Hast du noch etwas anzumerken? Hier kannst du hinschreiben, was du zum Thema noch sagen möchtest.
4;2024-03-04 14:37:46;2024-03-04 14:40:11;weiblich;9;2;Stimme voll und ganz zu;Stimme nicht zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme zu;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme nicht zu;3;
5;2024-03-04 14:37:51;2024-03-04 14:40:01;weiblich;9;4;Stimme zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;3;
6;2024-03-04 14:37:55;2024-03-04 14:39:38;weiblich;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme überhaupt nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme weder zu noch lehne ab;1;
7;2024-03-04 14:37:56;2024-03-04 14:40:02;weiblich;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme nicht zu;Stimme nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme voll und ganz zu;2;
8;2024-03-04 14:38:07;2024-03-04 14:40:10;männlich;9;3;Stimme voll und ganz zu;Stimme nicht zu;Stimme zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme zu;;wichtig für unsere Zukunft
9;2024-03-04 14:38:08;2024-03-04 14:40:07;weiblich;9;2;Stimme zu;Stimme nicht zu;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;2;
10;2024-03-04 14:38:10;2024-03-04 14:40:13;männlich;9;3;Stimme voll und ganz zu;Stimme nicht zu;Stimme zu;Stimme weder zu noch lehne ab;Stimme weder zu noch nicht zu;Stimme überhaupt nicht zu;Stimme weder zu noch nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme zu;Stimme voll und ganz zu;2;
11;2024-03-04 14:38:13;2024-03-04 14:40:42;weiblich;9;1;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;1;
12;2024-03-04 14:38:22;2024-03-04 14:40:14;männlich;9;2;Stimme voll und ganz zu;Stimme nicht zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme weder zu noch nicht zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;2;
14;2024-03-05 10:26:19;2024-03-05 10:28:32;weiblich;9;2;Stimme zu;Stimme nicht zu;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme voll und ganz zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme zu;2;
