Antwort ID;Datum gestartet;Datum letzte Aktivität;Geschlecht;In welcher Klassenstufe bist du?;Welche Informatiknote hattest du auf deinem letzten Zeugnis?;Die Aufgaben konnte ich gut lösen.;Ich fand die Aufgaben zu schwierig.;Ich konnte die Aufgaben konzentriert bearbeiten.;Ich empfand die Aufgaben als zu leicht.;Bereits vor der Unterrichtsstunde hatte ich Interesse etwas über KI zu lernen.;Das Szenario hat mir keinen Spaß gemacht.;Ich würde mich nach dem Szenario gern näher mit dem Thema KI beschäftigen.;Ich würde mir inhaltlich mehr solche Themen im Informatikunterricht wünschen.;Ich würde mir methodisch mehr solcher Unterrichtsstunden wünschen.;In der Unterrichtsstunde habe ich etwas Neues gelernt.;Ich habe nun besser verstanden, wie eine KI funktionieren kann.;Die Bedienung der Webseite ist verständlich.;Gib der Stunde eine Schulnote (von 1 bis 6).;Hast du noch etwas anzumerken? Hier kannst du hinschreiben, was du zum Thema noch sagen möchtest.
2;2024-03-18 14:41:01;2024-03-18 14:42:15;weiblich;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme nicht zu;Stimme zu;Stimme überhaupt nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme voll und ganz zu;;
3;2024-03-18 14:41:02;2024-03-18 14:41:50;N/A;9;1;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;2;
4;2024-03-18 14:41:03;2024-03-18 14:42:24;weiblich;9;2;Stimme zu;Stimme nicht zu;Stimme nicht zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme nicht zu;Stimme nicht zu;3;
5;2024-03-18 14:41:05;2024-03-18 14:42:37;männlich;9;3;Stimme voll und ganz zu;Stimme nicht zu;Stimme zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme voll und ganz zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme zu;2;
6;2024-03-18 14:41:07;2024-03-18 14:42:00;männlich;9;3;Stimme voll und ganz zu;Stimme zu;Stimme zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme nicht zu;;
7;2024-03-18 14:41:07;2024-03-18 14:42:21;männlich;9;3;Stimme zu;Stimme nicht zu;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;Stimme weder zu noch nicht zu;Stimme voll und ganz zu;Stimme überhaupt nicht zu;;Stimme überhaupt nicht zu;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme weder zu noch lehne ab;3;
8;2024-03-18 14:41:09;2024-03-18 14:43:24;weiblich;9;2;Stimme zu;Stimme nicht zu;Stimme weder zu noch lehne ab;Stimme weder zu noch lehne ab;Stimme nicht zu;Stimme nicht zu;Stimme weder zu noch nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme weder zu noch lehne ab;2;Wenn man nicht mal die Menschliche Intelligenz beschreiben kann wie soll man dann die Künstliche?
9;2024-03-18 14:41:15;2024-03-18 14:42:44;weiblich;9;4;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme zu;Stimme zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;2;
10;2024-03-18 14:41:20;2024-03-18 14:42:37;N/A;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme überhaupt nicht zu;Stimme nicht zu;Stimme zu;Stimme voll und ganz zu;;;;1;
11;2024-03-19 10:26:52;2024-03-19 10:28:51;männlich;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme weder zu noch lehne ab;Stimme zu;Stimme überhaupt nicht zu;Stimme zu;Stimme zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;1;Coll war das man viel mitmachen konnte.
12;2024-03-19 10:26:57;2024-03-19 10:29:14;männlich;9;2;Stimme zu;Stimme nicht zu;Stimme zu;Stimme nicht zu;Stimme zu;Stimme überhaupt nicht zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;Stimme zu;2;
17;2024-03-19 10:27:13;2024-03-19 10:29:35;männlich;9;2;Stimme voll und ganz zu;Stimme überhaupt nicht zu;Stimme zu;Stimme voll und ganz zu;Stimme zu;Stimme überhaupt nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme weder zu noch nicht zu;Stimme überhaupt nicht zu;Stimme nicht zu;;;
